Sr.No.,Warehouse,Map Coordinates
1,Agra,"27.230716, 77.909071"
2,Aligarh,"27.8829660, 78.063410"
3,Ambedkar nagar,"26.441416, 82.548914"
4,Amethi,"26.2015937,81.6929315"
5,Amroha,"28.898581, 78.473172"
6,Auraiya,"26.4624411,79.4995628"
7,Ayodhya,"26.770211, 82.122168"
8,Azamgarh,"26.094176, 83.179311"
10,Baghpat,"28.973630, 77.213411"
11,Bahraich,"27.574933, 81.595975"
12,Ballia,"25.74621477534612, 84.10413792982986"
13,Balrampur,"27.427598476495557, 82.19183223974858"
14,Banda,"25.468055, 80.336670"
15,Barabanki,"26.925992, 81.188233"
16,Bareilly,"28.396403, 79.374722"
17,Basti,"26.839558912094656, 82.76317808399993"
18,Bijnor,"29.396106, 78.151479"
9,Budaun,"28.049005, 79.131911"
19,Bulandshahr,"28.396453, 77.868285"
20,Chandauli,"25.257766, 83.273433"
21,Chitrakoot,"25.301548, 80.956262"
22,Deoria,"26.456236, 83.806847"
23,Etah,"27.564987, 78.665538"
24,Etawah,"26.783489, 79.128092"
25,Farrukhabad,"27.404311, 79.560377"
26,Fatehpur,"26.015690, 80.746175"
27,Firozabad,"27.0446720,78.7373413"
59,Gautam Buddh Nagar,"28.563294, 77.545501"
28,Ghaziabad,"28.646369363873568, 77.46036992267294"
29,Ghazipur,"25.585460, 83.577338"
30,Gonda,"27.177299, 81.994449"
31,Gorakhpur,"26.760736, 83.373125"
32,Hamirpur,"25.950381, 80.157669"
33,Hapur,"28.744873, 77.738352"
34,Hardoi,"27.389544, 80.134039"
35,Hathras,"27.707151, 78.121174"
36,Jalaun,"26.008678, 79.482651"
37,Jaunpur,"26.076538, 82.676922"
38,Jhansi,"25.456098, 78.532828"
39,Kannauj,"27.0196865,79.9354237"
40,Kanpur Dehat,"26.366367,79.9696747"
41,Kanpur Nagar,"26.472362740981875, 80.24420755098382"
42,Kasganj,"27.909699, 78.821771"
43,Kaushambi,"25.573864, 81.488868"
44,Kushinagar,"26.796340, 83.894272"
45,Lakhimpur,"27.925425, 80.791996"
46,Lalitpur,"24.7040536,78.4213875"
49,"Lucknow-3N 
(TP nagar)","26.773392, 80.898192"
50,Maharajganj,"27.146816, 83.549048"
51,Mahoba,"25.298389, 79.870779"
52,Mainpuri,"27.2128596,79.0466416"
53,Mathura,"27.5263608,77.7422116"
54,Mau,"26.078255, 83.59036"
55,Meerut,"28.959776, 77.642932"
56,Mirzapur,"25.158773325073724, 82.49980933179431"
57,Moradabad,"28.850394, 78.765656"
58,Muzaffar nagar,"29.464028, 77.723046"
60,Pilibhit,"28.630998, 79.816419"
61,Pratapgarh,"25.899383, 81.945066"
62,Prayagraj,"25.499858, 81.863800"
63,Raebareli,"26.224336, 81.247265"
64,Rampur,"28.803241, 79.013089"
65,Saharanpur,"29.975517, 77.575007"
66,Sambhal,"28.528836, 78.752055"
67,Sant kabir Nagar,"26.775099, 83.055063"
68,Sant Ravidas nagar,"25.371925722102528, 82.52437171373633"
69,Shahjahanpur,"27.854665, 79.938596"
70,Shamli,"29.466500, 77.298373"
71,Shrawasti,"27.699458, 81.937056"
72,Siddharth Nagar,"27.190633, 82.964719"
73,Sitapur,"27.589382, 80.671975"
74,Sonbhadra,"24.698494, 83.061157"
75,Sultanpur,"26.2368706,82.0664012"
76,Unnao,"26.507042, 80.424339"
77,Varanasi,"25.373254, 83.064976"
